2015-01-26 17:28:35+0800 [scrapy] INFO: Scrapy 0.24.4 started (bot: douban)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/loveface/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/LifeTips/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/litterature/> (referer: http://www.douban.com/group/explore?tag=%E5%AD%A6%E6%9C%AF)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/youpifu/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/dayima/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/Shanghai/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/loverealman/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/175791/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/312260/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/laughoutloud/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/jokeinenglish/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/54902/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/wan_feng/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/gaychina/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/sillyjokes/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/416343/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/qiushi/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/new9z/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/bshen/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/168318/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/118716/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/qiushibaike/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/lei/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:38+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/57157/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:39+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/287870/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:39+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/zhibo/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:39+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/311134/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:39+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/360268/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:39+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/329024/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:39+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/julou/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:39+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/349147/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:39+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/funnynews5/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:39+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/167231/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:39+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/194611/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:39+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/TWO-2/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:39+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/occult/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:39+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/tuotuotuo/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/doubanzhibo/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/MobileParty/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/bra/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/470902/> (referer: http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/coldknowledges/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/pock/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/tuoshui/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/275645/> (referer: http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/moonpie/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/tcm/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/20244/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/Appearance/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/fine-art/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/IDmag/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/DIYFUN/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:40+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/calico/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:41+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/shougong/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:41+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/18297/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:41+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/socreative/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:41+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/qicai/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:41+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/art/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:41+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/colourlovers/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:41+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/Instagram/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:41+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/Sharing/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:41+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/id2006/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:41+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/sheyii/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:41+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/52725/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:41+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/ha-no-point/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:41+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/leon-image/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/soku/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/myjob/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/Junko/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/JPpeople/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/taotaopaoxiao/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/zhuangb/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/lvguangsenlin/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/blabla/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/cultwomen/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/spoil/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/Gia-club/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/DiyGril/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/camera/> (referer: http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF)
2015-01-26 17:28:42+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/241320/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/187330/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/bjjob/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/ieltsgroup/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/442879/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/part-time/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/wokaoyan/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/NoAstrology/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/asshole/> (referer: http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/503950/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/shanghaizufang/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/zhenjing/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/earlybird/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/beijingzufang/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:43+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/dayaferday/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/You_arelegend/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/fangzi/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/gotohk/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/guduwawa/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/movie/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/douban911/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/ustv/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/youzhaopin/> (referer: http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/buybook/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/EmirKusturica/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/hg/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/skyfree/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/travelguide/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/lvxing/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/dorama/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/travel/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:44+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/yly/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:45+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/JD/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:45+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/trip/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:45+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/82716/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:45+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/bedreader/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
2015-01-26 17:28:45+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/girlsonroad/> (referer: http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3)
